engine_rpm_mean,engine_coolant_temp_c,oil_pressure_psi,hard_braking_events_per_100km,battery_voltage_v,odometer_reading_km_k,component_failure_risk
2514.773,76.71,42.235,1.667,12.469,149.578,0
2122.741,103.687,32.371,3.198,11.793,150.737,0
1442.069,104.793,48.947,0.201,13.152,91.463,1
2494.566,70.36,47.521,4.582,13.237,32.854,1
1759.503,114.258,60.485,4.785,14.649,37.636,1
2757.835,100.037,57.064,0.259,13.792,5.0,1
1852.374,111.594,33.772,4.944,14.82,36.235,1
3457.457,73.21,51.844,2.242,12.608,88.097,0
1940.885,72.878,30.589,3.253,14.669,59.816,1
2240.66,89.914,50.351,1.606,14.449,76.894,1
2978.786,99.039,35.801,4.161,11.984,107.172,0
1649.938,117.149,29.721,3.231,14.99,71.317,0
2597.849,101.885,45.361,1.035,13.884,34.518,1
3299.643,88.602,10.0,0.403,14.153,82.604,0
1405.136,77.631,20.988,0.0,13.022,44.568,0
2570.012,109.22,39.87,2.838,14.948,72.815,1
2618.924,78.494,42.989,3.53,12.733,145.425,0
2958.185,114.799,37.568,3.672,14.549,72.827,0
1645.982,88.019,23.047,2.288,14.539,164.693,0
1591.703,114.268,32.185,0.417,12.923,149.424,0
2789.262,101.505,46.695,1.272,15.2,58.931,1
2643.04,90.082,48.981,4.574,14.008,34.999,1
2612.82,84.728,41.805,1.628,14.389,82.635,1
2675.191,87.227,55.882,2.758,12.426,136.9,0
2007.984,97.996,46.769,0.564,15.2,62.941,1
2600.965,93.08,33.031,3.106,12.698,125.864,0
2640.497,83.687,38.634,1.676,14.722,139.38,1
1985.672,89.681,25.166,4.384,12.905,50.169,0
3662.753,93.1,40.702,3.892,13.243,54.578,0
2757.991,65.0,55.345,1.608,14.51,117.07,1
1675.653,98.414,50.223,2.272,14.725,91.833,1
2876.76,78.284,58.824,1.508,12.656,54.127,1
1816.457,75.853,38.365,0.0,14.781,69.152,1
2961.605,68.377,58.153,0.957,14.74,81.827,1
3203.087,66.886,39.68,2.857,12.956,14.582,0
1916.556,73.024,59.659,3.085,15.2,119.454,1
3076.194,82.074,41.738,2.767,12.489,63.459,0
2718.308,119.346,50.487,1.957,13.238,5.0,1
2984.339,84.638,59.701,4.18,14.231,83.926,1
3682.915,94.489,39.679,2.614,13.032,51.629,0
2290.498,97.607,44.621,3.766,14.037,160.997,0
1960.071,93.835,57.466,0.0,14.017,58.655,1
1871.816,90.916,40.404,0.0,13.632,35.606,1
1919.723,75.266,26.149,3.011,14.549,107.857,0
2399.884,112.313,67.716,0.0,13.594,55.28,1
2671.749,117.301,36.363,2.118,14.008,49.924,1
2629.849,68.443,43.905,1.956,14.832,107.928,1
2987.669,77.664,55.872,5.357,14.512,38.179,1
2458.451,88.083,34.698,3.22,14.507,19.423,1
3394.797,78.496,29.906,2.799,12.766,162.67,0
2277.973,99.084,45.045,4.007,14.272,111.077,0
4218.11,81.804,20.483,3.163,13.009,73.111,0
2856.684,122.311,38.545,1.676,12.647,84.844,0
1892.848,108.668,44.94,4.429,13.735,107.764,0
1753.92,94.976,38.761,0.502,12.986,128.8,0
2763.607,106.378,23.479,3.082,14.512,50.981,0
2304.749,107.483,61.13,0.0,14.533,101.477,1
2914.1,84.105,43.242,2.867,12.088,62.198,0
2757.604,80.573,59.174,2.847,13.055,76.496,0
2402.661,93.094,38.88,5.518,12.486,92.231,0
1899.584,104.063,31.44,0.0,13.384,84.699,1
1465.349,93.947,45.23,1.418,14.21,118.101,0
2159.765,69.922,39.411,3.981,13.582,106.919,0
3006.659,80.76,27.867,3.104,13.269,17.132,1
2589.161,90.964,59.637,2.825,14.97,23.898,1
1640.27,90.941,34.533,0.779,11.726,68.363,0
2562.568,119.616,19.917,1.437,14.913,167.288,0
2700.456,72.596,57.938,4.741,13.31,46.678,1
1875.493,99.078,35.948,2.407,13.73,75.63,0
2549.921,112.848,34.706,3.176,13.325,60.864,0
2487.836,123.8,20.815,2.293,15.189,60.068,1
1707.069,86.338,62.891,0.37,12.692,93.021,0
2682.562,98.88,26.526,4.181,13.811,148.035,0
2814.51,99.977,42.701,3.406,14.275,105.519,0
3153.983,94.737,52.951,6.65,12.35,48.841,0
3134.971,90.616,47.061,0.672,12.972,208.895,0
1554.515,98.104,41.284,3.981,13.667,88.536,0
1840.414,65.0,21.58,0.139,13.002,59.025,0
2784.773,101.549,32.283,2.783,13.066,148.544,0
2783.961,93.766,44.254,4.258,13.485,63.892,1
2784.781,88.885,32.554,0.0,14.385,159.831,1
4954.275,120.656,44.44,2.131,13.492,45.821,1
2821.079,82.551,50.181,1.486,14.771,149.351,1
3188.118,86.357,53.55,1.236,12.902,94.047,1
3070.101,119.882,27.286,3.193,12.673,143.097,0
2873.404,80.351,68.36,4.517,15.2,170.579,0
2245.075,84.298,51.21,2.26,13.208,34.033,1
2943.33,89.942,41.979,2.87,12.62,142.41,0
1947.664,103.77,55.074,2.706,12.232,21.599,1
2296.068,94.909,70.385,2.503,14.768,37.877,1
2134.514,73.903,24.735,0.539,13.493,48.847,1
2503.218,84.55,39.297,4.495,13.572,107.664,0
3954.528,83.497,13.459,3.031,13.657,86.486,0
1236.278,90.919,44.312,3.211,14.712,77.479,0
2896.069,97.962,46.385,1.048,13.638,91.581,1
1401.735,97.855,41.53,1.673,15.2,111.608,1
2143.244,67.136,34.146,2.183,13.92,115.071,1
3157.818,106.895,17.406,0.0,14.756,134.238,1
2491.782,95.536,46.482,0.0,14.525,166.902,1
1749.466,111.383,59.465,1.419,13.767,84.039,0
1985.053,98.219,34.908,3.441,13.272,61.551,0
2891.739,107.419,47.281,1.324,14.099,112.609,1
1975.262,98.532,23.182,0.666,14.259,33.509,1
2590.698,110.847,47.487,1.034,13.285,54.458,0
2479.622,99.312,37.279,1.68,13.95,129.972,0
2026.46,90.629,32.851,1.863,14.913,79.414,1
3843.564,123.814,32.876,6.398,15.2,30.631,1
2862.047,104.447,37.277,4.398,14.569,17.959,1
1133.657,100.032,46.589,4.345,15.2,87.192,1
2571.195,74.132,26.254,4.603,13.234,136.385,0
2019.839,73.964,37.235,0.702,14.432,135.785,1
3004.082,96.098,41.502,0.3,15.005,89.99,1
1934.862,94.037,28.812,0.508,12.993,175.401,0
2375.421,83.402,63.56,4.902,13.363,80.283,0
2778.242,93.974,31.758,1.515,15.2,78.764,1
3012.741,114.241,33.967,0.248,12.922,5.0,1
1669.807,101.736,30.26,1.724,12.593,64.869,0
2232.574,76.026,63.582,2.071,15.175,123.341,1
2141.286,90.439,48.635,2.983,14.877,155.378,0
2025.336,80.73,30.761,2.952,14.189,47.639,0
3597.545,86.572,55.275,1.009,13.759,105.801,1
2713.238,86.209,44.408,3.734,13.405,132.11,0
1630.425,85.313,45.087,1.349,14.054,85.504,1
3046.61,74.428,37.866,2.219,15.2,5.0,1
3829.402,90.213,33.007,3.736,14.015,96.128,0
3121.102,84.151,46.053,1.345,15.2,119.264,1
1462.41,65.0,35.459,1.475,12.992,42.366,1
2135.248,120.742,63.801,3.565,13.782,73.563,1
3273.492,107.243,26.769,0.956,13.464,33.003,1
1990.015,86.732,60.434,1.807,12.823,5.0,1
2738.483,92.263,40.664,3.5,13.662,131.215,0
2953.512,75.597,45.589,6.197,14.176,84.831,0
1847.495,115.74,51.998,3.59,14.272,156.895,0
2411.309,118.562,34.437,3.351,15.2,123.579,0
750.0,94.194,52.371,3.455,14.218,69.061,1
1784.148,106.329,10.0,0.568,14.835,81.257,1
2285.831,94.454,33.36,2.708,13.859,110.478,0
1638.941,73.286,30.911,2.446,15.2,128.51,1
3511.067,86.234,26.958,3.079,15.2,99.52,0
1520.408,93.847,39.421,2.71,14.278,134.752,1
2163.971,85.636,46.629,3.183,12.907,71.65,0
2534.981,88.939,50.432,1.939,13.306,40.129,1
3386.828,90.72,44.891,2.605,14.054,82.084,1
1516.69,90.868,34.012,0.29,14.211,94.233,1
3206.056,92.732,46.428,1.924,14.429,30.931,1
2456.651,77.152,43.491,5.004,14.214,24.848,1
1812.019,81.962,53.233,3.074,13.806,105.132,1
2750.367,74.016,51.323,2.462,13.227,66.714,1
2579.389,105.689,42.366,5.913,14.161,77.537,0
2059.859,65.0,31.233,0.05,15.2,68.814,1
2495.371,108.15,34.165,0.503,14.718,153.427,1
2199.546,111.409,35.403,5.583,14.281,141.779,0
2523.786,87.769,38.217,2.583,14.727,29.319,1
2880.385,65.0,45.217,2.063,13.466,61.024,1
3480.911,86.942,50.582,0.341,13.343,123.25,1
1645.42,91.101,41.387,3.306,13.127,112.087,0
3836.472,77.852,42.193,3.48,13.687,83.134,0
1181.143,84.787,43.72,0.53,13.42,33.808,1
2351.34,113.423,35.809,2.248,14.887,54.286,1
2832.406,101.309,30.895,1.896,13.372,61.745,1
2632.645,79.056,20.935,2.961,13.078,97.465,0
2045.245,69.634,33.658,0.485,15.2,161.668,1
2314.721,87.422,47.678,4.754,13.394,54.09,1
2129.549,89.012,33.565,4.148,13.938,38.828,0
2066.913,98.947,39.146,1.846,14.206,80.114,1
3002.241,84.506,47.597,2.11,12.777,131.428,0
2682.06,99.161,48.248,2.254,14.912,19.89,1
1999.609,119.092,29.046,1.099,14.373,150.414,0
3034.74,103.417,53.965,1.702,15.2,77.259,1
2649.745,91.327,55.528,2.014,13.189,51.956,1
2978.36,89.436,28.442,5.403,13.889,12.991,1
2859.259,87.007,32.114,4.204,13.835,116.793,0
1911.153,108.529,56.293,4.182,14.037,77.297,0
2085.882,83.218,40.238,3.166,12.491,92.682,0
2935.741,92.633,15.363,0.489,13.9,44.463,1
2846.741,92.717,25.204,2.425,12.516,70.641,0
2436.414,84.975,39.008,4.247,14.123,63.104,1
2526.263,72.785,28.043,0.235,11.884,80.473,0
3280.482,96.522,37.039,3.646,12.134,54.87,0
2065.479,91.146,42.389,6.681,14.537,15.962,0
2805.613,99.003,59.547,4.411,13.308,207.782,0
2318.575,84.53,38.515,5.045,12.911,23.647,0
2308.507,109.091,54.871,2.893,14.944,93.166,1
3164.205,79.725,59.145,4.242,14.095,5.259,1
2986.521,115.969,59.212,1.208,14.585,5.0,1
2978.781,67.533,45.417,3.933,13.65,89.402,1
3298.561,98.087,18.441,3.678,15.2,92.847,1
2463.652,98.656,47.53,3.022,13.256,141.767,0
2893.269,80.862,54.581,4.869,15.2,102.98,1
2248.327,97.942,41.027,1.53,13.745,78.259,0
2660.708,109.913,62.935,2.163,12.311,42.268,1
2365.407,65.0,52.318,2.672,14.235,152.456,0
2513.047,99.038,48.819,0.647,14.083,126.798,0
2836.852,65.0,55.037,2.908,12.854,28.915,1
1918.157,78.481,46.0,0.0,12.97,86.708,1
3810.052,114.808,12.086,4.385,13.778,91.482,0
1796.089,83.855,36.01,2.584,14.115,69.446,1
1660.777,75.566,56.366,1.562,11.576,119.733,0
3202.772,89.229,32.309,0.998,14.748,122.428,1
2964.581,120.951,39.318,2.078,13.355,76.428,0
2855.678,66.356,29.462,3.739,12.601,72.361,0
2858.425,77.282,63.407,3.486,14.647,152.453,1
2442.04,112.964,62.178,1.23,13.779,126.978,1
1866.785,118.008,31.394,0.977,14.895,88.256,1
2499.273,90.552,43.768,3.682,14.194,11.686,1
2009.845,74.653,33.834,1.2,13.799,100.48,1
3083.828,121.342,49.379,2.608,13.663,116.414,0
2354.413,114.322,48.116,2.723,14.234,5.0,1
1913.427,101.505,51.74,3.062,13.428,96.334,0
2241.099,80.626,45.983,4.045,13.033,66.249,1
2718.405,91.314,75.0,0.227,14.349,75.062,1
2083.579,89.755,29.665,0.0,13.67,44.168,0
1915.557,96.632,21.473,1.479,13.83,78.331,0
2608.397,112.314,37.283,5.743,14.78,147.64,0
2609.228,104.312,23.184,6.14,13.698,64.912,0
2120.487,76.917,24.09,5.796,13.814,128.451,0
2143.825,111.271,29.984,2.153,13.26,48.715,0
2600.832,96.384,30.934,0.0,14.188,119.144,0
1508.745,101.619,30.545,0.0,14.115,85.075,1
1535.149,112.532,48.219,1.395,14.611,100.841,1
1983.011,76.438,35.926,2.143,13.279,85.322,0
2311.259,91.498,39.846,4.841,13.388,113.873,0
2652.09,84.56,52.731,4.062,14.513,5.0,1
3408.982,70.05,32.804,2.909,14.027,21.108,1
3007.479,96.854,38.825,0.898,12.984,103.769,0
2346.04,125.0,46.389,0.771,14.976,5.0,1
2437.639,66.239,18.701,2.957,12.271,61.124,0
1798.356,91.548,13.381,3.755,14.506,82.555,0
2437.966,100.968,46.153,3.205,12.661,47.734,0
2262.372,93.723,47.904,0.638,15.2,53.88,1
2659.767,90.416,66.771,3.671,12.41,97.221,0
1912.3,73.811,43.897,3.267,14.837,130.418,1
2787.575,95.259,51.837,0.573,13.727,41.87,1
3446.28,81.405,39.654,1.088,13.47,59.122,1
2379.306,65.0,45.567,3.739,13.967,52.093,1
2711.113,108.724,62.007,2.078,14.369,5.0,1
2898.594,105.417,16.512,5.36,12.986,91.377,0
2189.207,92.723,46.963,3.402,13.066,127.062,0
2595.66,95.207,67.627,1.624,14.385,130.749,0
2458.185,107.04,45.384,2.482,12.263,45.816,0
2513.489,95.141,61.807,2.614,13.274,28.674,1
1947.544,104.656,34.449,1.189,15.2,85.972,1
2465.932,87.835,41.615,0.857,12.929,122.317,0
2773.699,110.368,42.402,3.763,14.833,91.968,1
3393.243,96.491,15.389,4.021,13.273,98.019,0
3073.526,94.717,27.982,3.587,14.258,136.382,0
3849.569,74.219,28.837,5.228,14.389,51.739,1
1951.224,96.017,51.865,1.525,14.816,75.101,1
3017.008,80.353,52.466,5.514,13.62,158.557,0
2569.172,83.064,45.888,0.878,15.2,76.143,1
3873.372,80.585,51.889,0.677,13.27,27.97,1
1924.606,77.073,40.03,0.0,14.011,54.879,1
1904.181,121.747,56.423,1.698,14.021,42.782,1
2060.395,110.639,42.105,1.593,12.79,101.072,0
1069.468,118.885,42.694,3.447,13.543,44.682,0
2108.259,74.879,38.813,2.939,13.945,97.197,0
1956.564,92.998,50.213,0.353,13.411,51.877,1
2547.756,73.891,36.946,1.793,15.2,5.0,1
2672.141,82.26,53.717,1.831,13.045,98.798,0
3669.511,79.146,28.414,0.0,14.861,91.681,1
3067.775,109.354,28.813,0.734,14.571,108.299,1
2075.013,86.453,50.249,1.113,13.788,54.716,1
1866.03,106.957,40.937,5.081,13.021,49.92,0
2769.747,100.458,36.553,2.845,13.109,103.066,0
1591.848,124.251,52.681,3.692,13.334,153.356,0
3640.448,71.288,34.713,0.0,12.193,85.503,0
3216.636,109.629,39.598,4.65,12.897,104.106,0
2145.036,108.05,58.791,4.842,12.466,70.529,0
1336.463,78.373,60.47,0.0,15.011,15.537,1
3330.017,106.1,60.869,1.23,14.357,128.534,1
2375.549,96.706,38.614,3.392,14.507,125.879,0
3254.581,88.815,56.768,3.66,14.33,116.985,1
1413.622,80.465,30.613,1.279,13.95,76.812,1
2060.406,81.932,31.117,1.95,15.115,111.868,1
2453.408,120.697,13.795,1.425,13.25,125.219,0
2480.537,92.01,62.074,2.699,13.896,157.907,0
2157.457,102.95,31.632,4.655,14.472,129.484,0
2854.852,80.927,40.482,1.112,12.611,87.872,0
1756.047,81.082,31.076,4.301,15.2,26.129,1
2357.453,107.148,50.342,1.093,13.826,92.005,0
2528.192,73.106,37.492,0.974,13.928,96.546,1
2784.385,86.187,26.342,3.973,14.931,116.906,1
2912.55,92.476,47.3,4.159,14.623,145.925,0
1718.983,93.559,24.795,4.033,13.834,80.718,0
1452.826,89.493,31.951,0.132,13.917,179.544,0
3280.49,97.541,16.717,1.661,12.446,5.832,0
2666.004,101.7,24.913,3.981,13.299,103.87,0
1963.484,102.285,44.142,2.575,14.265,49.067,1
3458.249,78.199,18.426,0.567,14.2,5.0,1
2525.189,88.022,24.226,3.325,14.899,75.92,1
3216.543,108.727,41.972,1.213,13.692,19.427,1
2493.887,104.525,35.477,5.73,12.551,77.736,0
3789.486,72.78,65.904,5.281,14.751,86.565,1
3590.972,96.921,64.007,3.587,15.092,135.334,1
2288.173,65.0,31.585,4.95,14.608,17.159,1
3081.521,92.657,48.686,2.617,13.653,125.88,0
2869.494,118.569,50.991,3.878,14.74,89.414,1
3339.611,78.73,34.83,5.16,15.2,131.298,0
1822.8,80.319,24.054,2.942,13.904,65.571,0
2895.933,102.696,41.852,2.041,12.619,25.049,1
3137.976,70.401,39.926,0.0,13.272,30.213,1
1306.819,83.141,36.771,2.35,14.363,26.869,1
1680.882,100.35,47.308,3.982,12.356,106.502,0
1124.499,83.12,32.991,4.202,13.952,151.461,0
2274.886,88.696,28.176,3.408,14.142,59.577,0
2916.402,102.419,43.309,1.526,15.182,113.311,1
3426.532,97.902,46.632,0.0,14.979,16.445,1
2498.162,95.735,27.88,1.609,14.578,93.114,0
3508.6,87.252,53.137,1.952,11.854,115.085,0
1552.934,97.181,20.754,1.937,14.629,19.834,1
1342.801,90.268,35.063,3.613,14.435,75.825,0
2413.894,98.409,38.904,6.074,14.03,117.216,0
2699.643,85.043,34.365,2.722,12.243,5.0,0
2428.748,89.444,35.219,2.11,13.101,145.095,0
1106.163,78.141,64.453,2.033,12.75,100.916,0
2392.072,91.51,31.789,2.724,11.986,117.253,0
1602.095,80.646,71.295,1.009,13.797,66.428,1
2885.287,76.403,47.246,2.716,13.082,7.477,1
2688.289,95.621,43.105,3.311,15.2,109.033,1
1839.078,94.978,47.715,2.877,13.648,81.283,0
2115.987,102.96,72.359,3.324,14.964,86.445,1
1761.511,85.964,30.077,3.281,12.388,133.942,0
2409.259,97.713,28.555,0.0,13.323,119.293,0
3070.843,99.711,32.942,3.646,13.887,171.456,0
1809.278,98.227,42.386,1.292,12.983,91.923,0
2777.63,80.441,21.291,0.527,13.42,53.895,0
2105.333,94.091,42.268,0.512,13.604,76.521,1
1934.633,97.098,62.323,3.28,13.589,103.705,1
2380.43,92.1,43.817,2.099,15.2,130.714,1
1777.092,65.0,38.488,0.0,14.14,18.983,1
2090.128,94.247,34.582,3.36,14.232,85.384,0
1671.379,122.975,52.782,0.0,14.286,157.429,1
3727.071,86.959,32.09,2.752,14.351,74.191,1
2472.921,81.807,64.157,2.929,13.725,126.896,1
1995.178,97.227,65.2,4.094,13.511,107.19,0
2589.087,96.373,45.081,5.707,13.95,128.014,0
2376.987,108.698,41.862,0.044,14.841,48.561,1
2306.37,74.39,54.368,2.406,14.814,48.757,1
2849.208,102.239,55.138,2.003,13.584,85.912,0
2942.38,100.266,32.328,3.281,14.491,16.05,1
2105.174,90.01,35.681,2.888,13.625,72.862,1
2075.718,96.742,26.132,1.865,13.83,96.379,0
2271.216,106.412,46.909,1.706,13.374,165.309,0
953.751,104.212,50.0,0.49,13.637,103.122,0
1465.126,75.998,25.801,4.278,15.007,113.135,0
3338.468,103.482,36.538,3.327,13.883,137.401,0
3519.229,91.094,25.833,4.152,13.922,41.59,0
2288.127,93.02,31.214,1.941,12.498,77.571,0
2824.762,93.025,48.612,1.318,13.522,194.144,0
2652.313,89.897,33.198,0.559,13.583,81.439,0
4451.273,108.684,38.39,3.146,13.054,135.239,0
3177.724,90.828,22.472,0.628,13.819,128.368,0
2366.854,76.326,44.244,5.828,13.414,18.485,0
1828.899,86.491,41.469,0.146,13.872,98.972,1
1405.81,94.502,33.252,2.993,13.909,91.604,1
2582.251,109.209,39.732,5.32,12.94,99.848,0
1958.372,100.443,44.164,3.578,13.441,51.065,0
1525.535,80.093,32.222,2.816,13.87,34.739,1
2029.728,125.0,24.285,0.757,14.866,63.58,1
1746.994,95.707,63.667,0.013,14.031,80.599,1
3546.642,109.855,34.401,3.886,13.204,138.324,0
3023.066,89.876,40.839,5.211,14.159,166.779,0
2444.818,99.467,54.13,1.71,15.2,147.847,1
3411.964,103.753,75.0,0.45,14.625,123.708,1
2500.289,109.055,27.066,0.0,14.293,39.805,1
1890.165,106.803,47.398,0.735,14.453,66.6,1
3440.031,104.211,33.509,2.295,15.096,94.447,1
2800.292,87.589,35.535,5.378,14.768,56.54,1
1775.79,83.996,33.357,3.712,14.31,110.974,0
2326.28,96.657,28.492,3.049,14.762,117.422,0
1880.848,105.064,41.505,1.78,12.827,109.133,0
1551.18,88.882,24.306,1.45,12.448,131.131,0
3052.015,106.912,53.362,5.03,13.941,44.293,1
3691.121,112.337,42.66,2.861,13.862,126.977,0
1540.931,79.172,47.069,0.0,13.31,53.696,1
2815.93,80.283,36.406,1.288,14.543,42.658,1
2027.082,90.035,37.594,0.955,12.123,108.945,0
2133.369,96.307,45.451,1.517,13.319,139.714,0
2064.944,84.656,28.031,3.513,13.364,106.961,0
1888.406,110.931,37.704,2.307,12.327,85.936,0
2481.539,97.937,31.685,2.362,15.145,98.957,1
1909.882,92.552,31.313,4.864,12.577,91.139,0
2625.797,71.897,16.682,1.246,13.27,34.332,1
2417.345,73.579,58.072,5.856,14.617,29.082,1
2294.684,95.934,33.762,1.292,14.381,81.453,1
